StartDateTime	CoolingDegree	Energy	Flow	TemperatureIn	TemperatureOut	Volume
31/12/2018 04.00	34.02.00	03.13	00.01	64.99	30.79	00.01
31/12/2018 03.00	35.69	04.01	00.01	64.94	29.24.00	00.01
31/12/2018 02.00	32.18.00	04.07	00.08	63.22.00	31.04.00	00.11
31/12/2018 01.00	35.07.00	4	00.11	63.98	28.92	00.11
31/12/2018 00.00	31.91	0,189583333	00.09	62.93	31.02.00	00.01
30/12/2018 23.00	32.21.00	4	00.09	64.29.00	32.08.00	00.12
30/12/2018 22.00	26.92	07.19	00.15	66.29.00	39.37.00	00.02
30/12/2018 21.00	33.86	0,185416667	00.07	65.24.00	31.37.00	00.09
30/12/2018 20.00	32.33.00	0,18125	00.06	65.37.00	33.03.00	00.01
30/12/2018 19.00	30.04.00	03.32	00.06	64.51.00	34.47.00	00.15
30/12/2018 18.00	13.17	05.08	00.31	69.08.00	55.91	00.37
30/12/2018 17.00	11.57	0	00.37	69.59.00	58.01.00	0
30/12/2018 16.00	0,518055556	12.38	00.57	72.31.00	60.46.00	0,068055556
30/12/2018 15.00	0,51875	0,043055556	00.58	72.45.00	60.58.00	00.05
30/12/2018 14.00	33.95	8	00.05	63.34.00	29.39.00	00.21
30/12/2018 13.00	33.95	00.15	00.05	63.34.00	29.39.00	0
30/12/2018 12.00	42.15.00	0,392361111	00.14	67.93	25.78	00.21
30/12/2018 11.00	42.04.00	00.45	00.14	67.87	25.84	00.01
30/12/2018 10.00	35.21.00	08.07	00.07	64.41.00	29.02.00	00.21
30/12/2018 09.00	35.26.00	3	00.07	64.46.00	29.02.00	00.08
30/12/2018 08.00	36.29.00	0,142361111	00.07	65.43.00	29.13.00	00.07
30/12/2018 07.00	36.24.00	00.03	00.06	65.06.00	29.36.00	00.01
30/12/2018 06.00	34.81	0,267361111	00.07	63.68	28.87	00.15
30/12/2018 05.00	34.67	0,147222222	00.07	63.55.00	28.88	00.08
30/12/2018 04.00	32.07.00	0,106944444	00.06	61.15.00	29.08.00	00.07
30/12/2018 03.00	33.03.00	0,149305556	00.06	62.08.00	29.05.00	00.08
30/12/2018 02.00	32.41.00	03.05	00.06	61.33.00	28.92	00.07
30/12/2018 01.00	33.88	00.27	00.06	61.83	27.95	00.01
30/12/2018 00.00	31.85	0,189583333	00.05	60.15.00	28.03.00	00.13
29/12/2018 23.00	31.84	0,148611111	00.05	60.19.00	28.36.00	00.07
29/12/2018 22.00	31.68	0,139583333	00.06	60.89	29.21.00	00.07
29/12/2018 21.00	32.47.00	02.05	00.06	62.19.00	29.72	00.07
29/12/2018 20.00	33.05.00	04.27	00.06	63.24.00	30.19.00	00.11
29/12/2018 19.00	35.84	0,13125	00.06	65.09.00	30.06.00	00.07
29/12/2018 18.00	36.41.00	03.04	00.06	66.02.00	29.61	00.07
29/12/2018 17.00	37.46.00	03.28	00.07	67.51.00	30.05.00	00.08
29/12/2018 16.00	38.09.00	08.05	00.07	69.68	30.78	00.18
29/12/2018 15.00	44.61	0,223611111	00.38	72.92	28.31.00	00.01
29/12/2018 14.00	38.22.00	03.01	00.06	68.11.00	29.88	00.07
29/12/2018 13.00	34.57.00	03.23	00.07	65.03.00	30.73	00.08
29/12/2018 12.00	30.05.00	03.33	00.21	63.83	33.78	00.08
29/12/2018 11.00	32.04.00	03.12	00.07	62.23.00	30.19.00	00.01
29/12/2018 10.00	33.91	05.29	00.07	63.18.00	29.27.00	00.12
29/12/2018 09.00	33.11.00	0,134027778	00.07	62.23.00	29.13.00	00.07
29/12/2018 08.00	33.84	00.14	00.06	63.03.00	29.45.00	0
29/12/2018 07.00	33.54.00	04.27	00.07	62.01.00	28.47.00	00.12
29/12/2018 06.00	33.54.00	0,184722222	00.07	62.01.00	28.47.00	00.11
29/12/2018 05.00	33.48.00	02.01	00.07	62.04.00	28.57.00	00.07
29/12/2018 04.00	32.62	0,147222222	00.06	62.48.00	29.86	00.08
29/12/2018 03.00	34.07.00	0,177083333	00.06	62.57.00	28.05.00	00.11
